categoria, tipo, marca, descricao, valor, classificacao_kids
"Celulares','Smartphone','Xiaomi','Smartphone Xiaomi Redmi 10A 64Gb, Tela 6.53"" Câmeras 13MP+2MP Cinza CX341CIN XIAOMI','1212.58', default,"
"Celulares','Smartphone','Xiaomi','Smartphone Xiaomi Poco M4 Pro 4G 256GB 8GB RAM Tela 6.43""','2776.48', default,"
Celulares','Smartphone','LG','Smartphone LG Velvet 128GB Aurora White Octa-Core - 6GB RAM Tela 6,8” Câm. Tripla + Selfie 16MP','2799.00', default,
Celulares','Smartphone','LG','Smartphone LG K51S 64GB Titânio 4G Octa-Core - 3GB RAM 6,55” Câm. Quádrupla + Selfie 13MP','1099.00', default,
Celulares','Smartphone','Apple','Apple iPhone 13 128GB Estelar Tela 6,1” 12MP - iOS','5114.07', default,
Celulares','Smartphone','Apple','iPhone 11 Apple 128GB Branco 6,1” 12MP iOS','3719.07', default,
Celulares','Celular básico','Nokia','Celular Nokia 110 - Rádio FM e Leitor integrado Preto','131.65', default,
Celulares','Celular básico','Red Mobile','Celular Red Mobile Prime 2.4 M012F Dual Chip - 32MB 2G Rádio FM Bluetooth Desbloqueado','97.02', default,
Celulares','Celular básico','Multilaser','Celular do idoso Vita com Base carregadora Teclas falantes e Botão SOS P9121 - Multilaser','136.71', default,
Celulares','Celular básico','Lenoxx','Celular Lenoxx CX 908 Dual Chip - Rádio FM Bluetooth MP3 Player','179.10', default,
Brinquedos','Educativo','Chicco','Jogo de Boliche dos Macaquinhos - Chicco','169.99',true,
Brinquedos','Educativo','Chicco','Mesa de Atividades e Ferramentas 2 em 1 - Chicco','161.99',true,        
Brinquedos','Musicais, Luzes e Sons','Chicco','Ursinho Rainbow Rosa - Chicco','168.99',true,
Brinquedos','Musicais, Luzes e Sons','Fun Divirta-se','Mundo Bita Pianinho Musical e Percussão - Fun Divirta-se','127.99',true,
Brinquedos','Musicais, Luzes e Sons','BBR Toys','Câmera Mágica Lança Bolhas com Luz e Som Rosa - BBR Toys','69.99',true,
Brinquedos','Musicais, Luzes e Sons','Yes Toys','Trenzinho Brincalhão Winfun - Yes Toys','157.99',true,
Brinquedos','Musicais, Luzes e Sons','Buba Toys','Girafinha Musical Animal Fun - Buba Toys','107.99',true,        
Brinquedos','Pelúcias','Fun Divirta-se','Kit Pelúcias Disney Mickey e Minnie 20cm - Fun Divirta-se','199.98',true,
Brinquedos','Pelúcias','Mattel','Pelúcia Lightyear Buzz 20 Cm - Mattel','49.99',true,
Brinquedos','Pelúcias','Sunny','Pelúcia Squishmallows Disney Sulley - Sunny','89.99',true,        
Brinquedos','Bonecas','Estrela','Boneca Luluca com Som 42 cm Estrela','199.99',true,
Brinquedos','Bonecas','Multikids','Boneca Cry Babies Sons e Lágrimas de Verdade Flamy Multikids','349.99',true,
Brinquedos','Bonecas','Hasbro','Boneca - Baby Alive Glo Pixies Sammie Shimmer Fadas F2595 Hasbro','376.10',true,
Brinquedos','Bonecas','Mattel','Boneca Barbie - Barbie Bailarina Clássica - Roxo - Mattel','59.99 ',true,
Brinquedos','Bonecas e acessórios','Mattel','Mega Casa Dos Sonhos da Barbie - Mattel','1533.90',true,
Brinquedos','Bonecas e acessórios','Mattel','Playset - Barbie - Trailer dos Sonhos - 32 cm - Mattel','699.99',true,
Brinquedos','Bonecas e acessórios','Mattel','Playset e Boneca - Barbie - Estate - Nova Casa Glam - Mattel','381.99',true,
Brinquedos','Bonecas e acessórios','Mattel','Playset e Boneca Barbie - Barbie Ginasta - Ginástica - Mattel','293.99',true,       
Brinquedos','Patins','Mattel','Patins Barbie 29/32 Fun Rosa','359.99',true,
Brinquedos','Patins','Multikids','Patins 2 em 1 Marvel Vingadores Inline Tam 31-34 Multikids Azul','219.99',true,
Brinquedos','Bicicleta','Nathor','Bicicleta - Aro 16 - Capitão América - Nathor - Azul','649.90',true,
Brinquedos','Bicicleta','Caloi','Bicicleta Aro 12 - Cecizinha - Branco - Caloi','279.90',true,
"Brinquedos','Bicicleta','Nathor','Bicicleta 12"" Nathor Violet Roxo','376.29',true,"
Brinquedos','Carros','Mattel','Hot Wheels - 2 Jet Z - Legend Tours - GHD99','17.99',true,
Brinquedos','Carros','Mattel','Carrinho Hot Wheels 2 Jet Z - Legends Tour Cinza Edição 2020','59.99',true,
Brinquedos','Instrumentos Musicais','Candide','Patrulha Canina - Guitarra Eletrônica - Candide','149.99',true,
Brinquedos','Instrumentos Musicais','Fun','Guitarra Infantil - Barbie - Dreamtopia com MP3 - Rosa - Fun','189.99 ',true,
Brinquedos','Instrumentos Musicais','Fun','Teclado - Power Rockers - Fun','99.99',true,
Brinquedos','Instrumentos Musicais','Elka','Maraca e Pandeiro - Baby Shark - ElkaMaraca e Pandeiro - Baby Shark - Elka','54.99',true,
Brinquedos','Bonecos','Mimo','Boneco Articulado 55 cm Pantera Negra Ultimato Marvel','299.99',true,
Brinquedos','Bonecos','Hasbro','Boneca De Ação - Marvel Legends Series Deluxe - Okoye - Hasbro','299.99',true,
Brinquedos','Lança-Dardos','Hasbro','Nerf - Lançador Dinosquad Stego-Smash F0806 - Hasbro','119.99',true,
Brinquedos','Lança-Dardos','Hasbro','Lançador de Dardos - Nerf - Elite 2.0 - Tetrad QS 4 - Com 4 Dardos - Hasbro','149.99',true,
Brinquedos','Lança-Dardos','Hasbro','Lançador De Dardos - Nerf - Elite 2.0 - Schockwave - Hasbro','399.99',true,
Brinquedos','Lança-Dardos','Hasbro','EXCLUSIVO - Lançador de Dardos - Nerf - Roblox - Jailbrake Armor - Hasbro','199.99',true,
Brinquedos','Lança-Dardos','Hasbro','Lançador de Dardos - Nerf - Fortnite Pump - 4 Dardos - Hasbro','399.99',true,
Vestuário','Infantil masculino','Hawaiian Dreams','Camiseta Hawaiian Dreams Juvenil Especial Estampada Island Preta','47.99',true,
Vestuário','Infantil masculino','GOOD STUFF CLOTHING','Kit 2 Camisetas Básicas Masculina Manga Curta Confortável Branco','139.90',true,
Vestuário','Infantil masculino','Buh','Camiseta Buh Kids Recorte Canelado Branca','88.07',true,
Vestuário','Infantil masculino','Buh','Camiseta Buh Kids Pause Play Stop Preta','75.47',true,
Vestuário','Infantil masculino','Oneill','Camiseta Oneill Lycra Infantil Manga Curta Azul','59.99',true,
Vestuário','Infantil feminino','Anjuss','Camiseta Anjuss Kids Ctrl C Branco','24.99',true,
Vestuário','Infantil feminino','Boca Grande','Blusa Infantil de Manga Longa Boca Grande Panda Cinza','31.99',true,
Vestuário','Infantil feminino','Anjuss','Camiseta Anjuss Kids Swage Cinza','26.39',true,
Vestuário','Infantil feminino','Pétale','Kit 2 Blusas Básicas Feminina Canelada Ribana Lisa Moderna Rosa','129.99',true,
Vestuário','Infantil feminino','WJU JEANS','Camiseta Juvenil Menino Estampada Azul','46.90',true,
Vestuário','Infantil feminino','Boca Grande','Blusa Infantil de Manga Longa Boca Grande Panda Cinza','31.99',true,
Vestuário','Adulto masculino','Hering','Bermuda Masculina Em Sarja De Algodão Cinza','199.99', default,
Vestuário','Adulto masculino','GAP','Bermuda Sarja GAP Chino Bolsos Azul-Marinho','124.99', default,
Vestuário','Adulto masculino','MeA Shoes','Tênis Sapatênis Masculino Casual 7750','74.90', default,
Vestuário','Adulto masculino','Polo Plus','Tênis Casual Confotável Masculino Polo Plus Branco','99.90', default,
Vestuário','Adulto masculino','Lupo','Kit 10pçs Cueca Lupo Boxer Logo Azul-Marinho/Vinho','239.99', default,
Vestuário','Adulto masculino','Colcci','Kit 6pçs Cueca Colcci Boxer Logo Branca/Preta','179.90', default,
Vestuário','Adulto masculino','Hering','Bermuda Masculina Em Sarja De Algodão Cinza','199.9', default,
Vestuário','Adulto feminino','FiveBlue','Vestido FiveBlu Curto Manga Bufante Off-White','89.99', default,
Vestuário','Adulto feminino','FiveBlue','Vestido FiveBlu Midi Canelado Fenda Vermelho','74.99', default,
Vestuário','Adulto feminino','Amaro','Vestido AMARO Curto Alcinha Alfaiataria Leve Vermelho Vivo','199.99', default,
Vestuário','Adulto feminino','Colcci','Vestido Colcci Curto Logo Branco','109.99', default,
Vestuário','Adulto feminino','Lança Perfume','Camiseta Lança Perfume Logo Preta','69.99', default,
Vestuário','Adulto feminino','GAP','Blusa GAP Logo Azul','79.99', default,
Vestuário','Adulto feminino','Adidas','Camiseta adidas Originals 3 Stripes Preta','129.99', default,
Vestuário','Adulto feminino','Colcci','Camisa Cropped Colcci Lisa Branca','184.99', default,
Vestuário','Adulto feminino','Tommy Jeans','Camisa Tommy Jeans Logo Rosa','294.99', default,
Vestuário','Adulto feminino','Hering','Camisa Hering Bolsos Branca','139.99', default,
Vestuário','Adulto feminino','Diva Shoes','Camiseta Unissex Copa do Mundo Brasil com Strass Preta','112.99', default,
"Vestuário','Adulto feminino','Dudalina','Camisa Dudalina Reta Lisa Azul-Marinho','239.99', default;"
